prompt,baseline_score,tuned_score,delta
function start(options) {     options = options || {};      var prompt = options.prompt || '> ';      var eval = options.eval || run;      var context = new ExecutionContext();    ,9.0430,8.6762,-0.3668
"function endsWith(data, str) {     if (data.length < str.length) return false;     if (data === str) return true;     return data.lastIndexOf(str) === data.length - str.length; }",7.4298,7.4298,0.0000
function MarkLogicStore(options) {     options = options || {};     var collectionName = options.collection || defaultOptions.collection;     this.baseUri = options.baseUri || enco,8.0352,8.3434,0.3082
function ekurtosis( p ) { 	if ( !( isNumber(p) && 0 <= p && p <= 1) ) { 		return NaN; 	} 	return 6 + square( p ) / ( 1 - p ); },7.8683,7.8683,0.0000
"function attach(node) {             if (node && node.el && node.placeholder && node.placeholder.parentNode) {                 node.placeholder.parentNode.replaceChild(node.el, node",7.8366,7.8366,0.0000
"function populateLabels(labelTemplateString, labels, numberOfSteps, graphMin, stepValue) {         if (labelTemplateString) {             //Fix floating point errors by setting to ",6.4395,7.1710,0.7316
"function listenOnChanges(fn) {     var scriptContent = 'var cartId=""' + me.cart + '"";var extId=""' + chrome.runtime.id + '"";$(document).bind(""MenuDishesChanged QuantityChanged MealD",7.2071,8.1443,0.9372
"function indexOfOutside(data, item, index, exclude) {     var result, positionResult = {start: 0, end: index ? index - 1 : -1};      do {         result = data.indexOf(item, positi",7.3975,7.5854,0.1879
"function unshift(...next) {     return function (it) {         return __asyncGenerator(this, arguments, function* () {             for (let i = 0; i < next.length; ++i)        ",7.9007,9.1937,1.2929
"function resolveFilePatterns (baseDir, patterns, opt_omitWarnings) {   var resolvedFiles = [];    if (patterns) {     for (var i = 0; i < patterns.length; ++i) {       var matches ",7.9415,8.1047,0.1632
"function (engineName) {     var engine = engineName;      // If the engine is not a function, retrieve it from the modules     if (typeof engine !== 'function') {       engine = Sk",9.2065,8.9700,-0.2365
"function every(predicate) {     return async (it) => {         var e_23, _a;         let i = 0;         try {             for (var it_4 = __asyncValues(it), it_4_1; it_4_1 = a",8.0085,8.0085,0.0000
function modalOpen (options) {     if (isString(options)) options = optionsFromTarget(options);     var modal = select('#d3-view-modal');     if (!modal.size())         select('bod,6.3256,5.9132,-0.4125
"function OpenCommand(args, define) {     var lowerArgs = args.toLowerCase();     var forIndex = lowerArgs.indexOf(' for ');     if (forIndex === -1) throw new SyntaxError('OPEN wit",8.6554,7.7184,-0.9371
function(cb) {             // Callback is optional             cb = util.optional(cb);              // Grab policies config & policy modules and trigger callback             this.l,8.2145,8.2145,0.0000
"function concat(...iterables) {     return function (it) {         return __asyncGenerator(this, arguments, function* () {             var e_20, _a;             yield __await(y",8.3426,7.9891,-0.3536
"function (modelName, modelObject) {      // check for name, object and if model already exists     if (!modelName) return ('Name is not defined');     if (!modelObject) return ('Mo",8.7754,8.5922,-0.1832
"function text(node, _text2) {             if (node && node.el) {                 node.el.innerHTML = _text2;             }         }",7.8655,7.8655,0.0000
function write(obj) {   if(obj.type === 'crc') return this.end();   var buffer = this.converter.entry(obj);   this.crc.push(buffer);   return this.writeBuffer(buffer); },8.5481,8.6303,0.0822
"function tap(tapper) {     return function (it) {         return __asyncGenerator(this, arguments, function* () {             var e_1, _a;             let index = 0;          ",8.2649,8.2862,0.0213
"async function toWriteableArray(iterable) {     var e_30, _a;     const blob = [];     try {         for (var iterable_18 = __asyncValues(iterable), iterable_18_1; iterable_18_",7.6498,7.6498,0.0000
"function pascalCase(str) {     return words(str).reduce((result, word, idx) => {         return result + (idx && isUpperCase(word) ? word : capitalize(word));     }, ''); }",7.7293,7.2770,-0.4523
"function findLast(data, items, index) {     var currentIndex = -1, found = '';     for (var i = 0; i < items.length; i++) {         var item = items[i];         var location = data",7.3611,7.5743,0.2132
"function isNode (node, type) {   var isNode = true   var requiredProps = [     'attributes',     'children',     'type'   ]    requiredProps.some(function (prop) {     if (!node[pr",7.9560,7.9383,-0.0178
"function(callback,compilationSource){ 		if( compilationSource && this.cache.compilationSource && this.cache.compilationSource === compilationSource ) return; 		var callbackError=fu",8.6972,8.6972,0.0000
"function plugin(opts) {     return function(files, metalsmith, done) {         async.eachSeries(Object.keys(files), prerender, done);          function prerender(file, done) {     ",7.6694,7.6393,-0.0301
"function CommandStatement(name, args, manager, line) {     this.name = name;     this.args = args;      if (!commands[name]) throw new SyntaxError('Unknown command: ' + name);     ",9.0319,8.8727,-0.1592
"function takeUntil(predicate) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_16, _a;             let i = 0",8.6580,8.2788,-0.3792
"function match({ just, nothing }) {     return function (maybe) {         for (const value of maybe) {             return just(value);         }         return nothing();    ",8.0343,7.9815,-0.0529
"function(){ 				Object.defineProperty(this,'listen',{ value:function(){} }); 				var hasSyncEvent=this.self.store.hasSyncEvent; 				this.on('request.started',function(){ 					S.log",8.1410,8.4336,0.2926
"function(string, args){ 		string = i18n.appTranslations[string] || string; 		return args ? UString.vformat(string,args) : string; 	}",7.2948,8.1226,0.8279
"function entropy( out, x ) { 	var len = x.length, 		i; 	if ( out.length !== len ) { 		throw new Error( 'entropy()::invalid input arguments. Input and output matrices must be the sa",7.3328,7.3328,0.0000
"function Stream(ref, opts) {   var data = {},       emitter = this,       mapFn, started, ended, readable, marker;    if (!opts) opts = {};   if (!opts.page) opts.page = 10;     //",7.7595,7.7595,0.0000
"function distinct(it) {     return __asyncGenerator(this, arguments, function* distinct_1() {         var e_24, _a;         const resultSet = new Set();         try {         ",8.3161,8.3161,0.0000
"function(err, result) {                         if (err) {                             cb0(err);                         } else {                             var retErr = null;    ",8.5787,8.0209,-0.5578
"function FunctionStatement(name, args) {     if (name[name.length - 1] === '$') {         this.type = 'string';         this.name = name.substring(0, name.length - 1);     } else {",8.1846,8.4631,0.2785
"function AbstractSyntaxTree(root, labels, manager) {     this.root = root;     this.labels = labels;     this.manager = manager;      manager.parse(this); }",9.0281,9.0281,0.0000
"function(tag, props){ 	var konstructor = Element.Constructors[tag]; 	if (konstructor) return konstructor(props); 	if (typeof tag != 'string') return document.id(tag).set(props);  	",7.7351,8.1530,0.4179
"function some(predicate) {     return async (it) => {         var e_22, _a;         let index = 0;         try {             for (var it_3 = __asyncValues(it), it_3_1; it_3_1 ",8.0328,8.0328,0.0000
"function publish(subject, op, target) {   try {     var type = (_.isString(target)) ? target : target.type;     var topic = getTopic(type);     // optimization: would be nice to te",7.5186,7.5186,0.0000
"function orderBy(keySelector, comparison) {     const trueKeySelector = keySelector || defaultKeySelector;     const trueComparison = comparison || defaultComparison;     return",7.9334,7.9334,0.0000
"function(url, params){          // If the parameters weren't in the form of an array, fix that.         if (!(params instanceof Array)){             params = [params];         }   ",7.3779,7.2279,-0.1500
"function setArrayIndexAt(arr, dimensions, val, data) {     var currentDimension = dimensions[0].execute(data);     data.validate(currentDimension, 'number');     currentDimension -",8.3922,8.3570,-0.0352
function drawAllDataPoints(animationDecimal){ 			var rotationDegree = (2*Math.PI)/data.datasets[0].data.length;  			ctx.save(); 			//translate to the centre of the canvas. 			ctx.t,6.7892,6.7892,0.0000
"function identity(iterable) {     return __asyncGenerator(this, arguments, function* identity_1() {         return yield __await(yield __await(yield* __asyncDelegator(__asyncValu",7.7786,7.8504,0.0718
"function() {             // Build / normalize policy config             this.mapping = this.buildPolicyMap();             _bindPolicies(this.mapping, sails.middleware.controllers);",7.3759,7.4052,0.0293
"function Analyzer(config, state) { 	config = config || {};  	this.state = state;  	this.config = extend(true, { 		finders: { 			styl : [ 				{ 					name: 'regex', 					config: { 		",8.5285,8.5285,0.0000
"function removeClass(node, className) {             if (node && node.el) {                 node.el.classList.remove(className);             }         }",7.6108,7.4120,-0.1988
"function WhileCommand(args, define) {     var parsed = new statements.ArgumentStatement(args, {         separator: false     });      this.condition = parsed.args[0];     this.bloc",8.7111,8.7519,0.0408
function RrectCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 5) throw new SyntaxError('RRECT command requires 5 arguments');,7.9695,7.3640,-0.6056
"function setStyle(node, prop, value) {             if (node && node.el) {                 if (isObject(prop)) {                     Object.keys(prop).forEach(function (key) {      ",8.3579,8.3579,0.0000
"function next() {       var description,           firstTopic = topicChain[0];       for (description in context) {         if (description !== 'topic' && context.hasOwnProperty(de",7.4212,7.6203,0.1990
"function( data ){  		var result = {}, attributeCount = 0;  		_.each(data, function(value, key){  			result['Attribute.' + attributeCount + '.Name'] = key; 			result['Attribute.' + ",6.5563,6.6921,0.1357
"function insert (b, ptr, target, level, compare) {   level = level || r_levels(b, ptr)   compare = compare || _compare   var free = b.readUInt32LE(0) || 8    //figure out before ha",7.2284,7.2284,0.0000
"function _vendorsList(vendors, ignore = false) {   let vendorsList = ''   let sign = (ignore) ? '-' : '+'    for (let vendor of vendors) {     vendorsList += ` ${sign} ${vendor}`  ",7.5134,7.2479,-0.2656
"function inPosition(index, items) {     for (var i = 0; i < items.length; i++) {         var item = items[i];         if (index >= item.start && index <= item.end) return item;    ",7.1461,7.1461,0.0000
"function() {       var args = norma('path:s?', arguments);       var _url = url.format(_.clone(this.url));       var _path = (args.path || '').replace(/^\//, '');       return url.",6.6469,6.7738,0.1268
"function(){ 			var radioNames=[],error; 			this.$form.find(selectorAllElements).forEach(function($elt){ 				if($elt.is('input[type=""radio""]')){ 					var name=$elt.attr('name'); 			",6.2896,5.9355,-0.3541
"function parseLine(line, i, labels, notLineNumber, manager) {     line = line.trim();      // Is it an empty line?     if (line === """") return new EmptyStatement('empty');      if ",8.5699,8.5699,0.0000
"function(lang,/*#if NODE*/entry,/*#/if*/params){ 		var plus = '', route = params.shift(); 		if(route !== true){ 			route = this.routes.get(/*#ifelse NODE*/entry||'main'/*#/if*/).ge",7.4300,7.8226,0.3926
function TcolorCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 3) throw new SyntaxError('TCOLOR command requires 3 arguments',8.4307,8.4819,0.0512
"function() {       var results = [parseInt(this.url.port, 10)];       this.url.hostname && results.push(this.url.hostname);       return results;     }",6.9293,7.3068,0.3774
"function skipLast(count) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_11, _a;             const buffer =",8.0766,8.0766,0.0000
"function Intent(subject, op, target, data) {   this.subject = subject;   this.op = op;             // create | read | update | delete   this.target = target;   this.data = data; }",7.9346,7.5598,-0.3748
"function pad(data, length, pad) {     data = String(data);     pad = pad || ' ';     while (data.length < length) data += pad;     return data; }",7.8121,7.8121,0.0000
"function(){          // If we've already loaded the routes, skip.         if (this.routes.length === 0){              // Grab the entries.             var routes;             try {",7.5007,7.5007,0.0000
"function Service(name) {   debug('new service: %s', name);   assert(name, ""service not supplied with name"");    this.name       = name;   this.middleware = [];   this.uri        = ",7.9796,7.9796,0.0000
"function or(defaultValue) {     return function (maybe) {         for (const value of maybe) {             return maybe_1.just(value);         }         return defaultValue; ",8.5592,8.6384,0.0792
"function Polling (objGoogleCheckout) { 	var self = this; 	 	//todo: check the constructor name 	assert.ok(objGoogleCheckout, ""A GoogleCheckout object is the only required argument""",7.8782,7.8782,0.0000
"function(callback,onEnd){ 			//because next function is changing, we can't go this.next.bind(this) 			S.asyncWhile(function(){ this.next.apply(null,arguments); }.bind(this),callbac",8.8388,8.8388,0.0000
"function run(cmd, context, ast, cursor, next) {     try {         // Must be a command         if (cmd[0] === ""."") {             var command = cmd.substring(1);             var spa",8.6275,8.6275,0.0000
"function(path){ 	var xhr=new XMLHttpRequest; 	xhr.open('GET',baseUrl+'web/'+path+'.js', false); 	xhr.send(); 	if(xhr.status !== 200) new FatalError(/*#if DEV*/'Unable to load: '+pa",8.2445,8.4578,0.2133
function onChange () {     if (props.onChange) {       var changeHandlers = [...props.onChange]       var value = editor.getValue()       return changeHandlers.map((f) => f(value)),6.7700,7.6465,0.8765
function add(snapshot) {     return Promise       .resolve(mapFn(snapshot))       .then(function(val) {         data[snapshot.key()] = val;       });   },7.6021,7.8401,0.2379
"function issorted( arr, clbk ) { 	if ( !Array.isArray( arr ) ) { 		throw new TypeError( 'issorted()::invalid input argument. Must provide an array.' ); 	} 	if ( arguments.length > ",7.3441,7.4119,0.0678
"function Population(opts) {      // allow use object for gene     var genes = opts.genes.map(function(gene, index) {         return index;     });     this.oriGenes = opts.genes;  ",8.0763,7.8124,-0.2639
"function entropy( arr, path, sep ) { 	var len = arr.length, 		opts = {}, 		dget, 		dset, 		v, i; 	if ( arguments.length > 2 ) { 		opts.sep = sep; 	} 	if ( len ) { 		dget = deepGet(",8.3940,8.3007,-0.0933
function gulpQiniuCdn(conf) {    qiniu.conf.ACCESS_KEY = conf.AK;   qiniu.conf.SECRET_KEY = conf.SK;    var putpolicy = new qiniu.rs.PutPolicy()     //token parameter   putpolicy.s,7.8298,7.8298,0.0000
"function replace(target, replaceWith) {     function escapeRegExp(str) {         return str.replace(/[.*+?^${}()|[\]\\]/g, ""\\$&""); // $& means the whole matched string     }  ",7.2360,7.6062,0.3702
"function GoogleCheckout(settings) { 	var self = this; 	 	assert.ok(settings.merchantNumber, 'settings.merchantNumber is required'); 	assert.ok(settings.merchantKey, 'settings.merch",7.4261,7.9636,0.5375
"function(){ 		return (this._label===false?'':this._label)+(this._between||' ') 			+S.Elt.toString(this.tagName,this._attributes,null); 	}",6.7088,7.4950,0.7862
function Load (options) {   var self = this;   self._path = options.path || './config';   self._environment = options.environment || args().env || 'development';   self._reload = o,8.3126,8.4800,0.1673
"function(url, val){          // Create a new object that we can manipulate safely.         var object = extend({}, val);          // Flag so we remember to append any attributes th",7.7141,7.7141,0.0000
"function SyncFile(path, flags, mode) {   flags = flags || 'w';   this.fd = fs.openSync(path, flags, mode);   this.crc = new Crc64();   this.converter = new Converter(); }",9.0222,8.0252,-0.9970
