prompt,baseline,grpo,ppo,delta_grpo,delta_ppo
"function entropy( out, x ) { 	var len = x.length, 		i; 	if ( out.length !== len ) { 		throw new Error( 'entropy()::invalid input arguments. Input and output matrices must be the sa",7.333,7.333,7.333,0.000,0.000
"function some(predicate) {     return async (it) => {         var e_22, _a;         let index = 0;         try {             for (var it_3 = __asyncValues(it), it_3_1; it_3_1 ",8.033,7.922,8.033,-0.111,0.000
"function(e){ 			var history=S.History, current = history.getFragment(); 			if(OLD_IE && current == history.fragment && history.iframe) current = history.getFragment(history.getHash",7.950,7.859,7.850,-0.091,-0.099
function write(obj) {   if(obj.type === 'crc') return this.end();   var buffer = this.converter.entry(obj);   this.crc.push(buffer);   return this.writeBuffer(buffer); },8.548,8.548,8.630,0.000,0.082
"function setAttribute(node, prop, value) {             if (node && node.el) {                 if (isObject(prop)) {                     Object.keys(prop).forEach(function (key) {  ",7.883,7.878,7.820,-0.005,-0.062
function (section) { 		section.children.forEach(function (child) { 			if (child.type === 'section') { 				finalParse(child) 			} else if (child.type === 'text' || 				child.type ==,8.632,8.351,8.515,-0.281,-0.117
"function camelCase(str) {     return words(str).reduce((result, word, idx) => {         return result + (idx ? (isUpperCase(word) ? word : capitalize(word)) : lowerCase(word));    ",7.788,7.788,7.693,0.000,-0.095
"function takeLast(count) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_10, _a;             const buffer =",8.373,7.531,7.946,-0.842,-0.428
"function(value){ 		/*#if BROWSER*/ if(this._label) this._label.text(value); else /*#/if*/ 		this._label=$.create('label').attr('for',this.getAttr('id'))/*#if BROWSER*/.prependTo(th",6.797,6.792,7.284,-0.006,0.487
"function findLast(data, items, index) {     var currentIndex = -1, found = '';     for (var i = 0; i < items.length; i++) {         var item = items[i];         var location = data",7.361,7.574,7.574,0.213,0.213
function onChange () {     if (props.onChange) {       var changeHandlers = [...props.onChange]       var value = editor.getValue()       return changeHandlers.map((f) => f(value)),6.770,6.770,7.647,0.000,0.877
"function repeat(times) {     return function (it) {         return __asyncGenerator(this, arguments, function* () {             var e_26, _a;             const buffer = [];   ",7.543,8.147,8.443,0.604,0.900
"function argnanmin( arr ) { 	if ( !Array.isArray( arr ) ) { 		throw new TypeError( 'argnanmin()::invalid input argument. Must provide an array.' ); 	} 	var len = arr.length, 		min ",8.065,7.841,8.177,-0.224,0.112
function gulpQiniuCdn(conf) {    qiniu.conf.ACCESS_KEY = conf.AK;   qiniu.conf.SECRET_KEY = conf.SK;    var putpolicy = new qiniu.rs.PutPolicy()     //token parameter   putpolicy.s,7.830,7.830,7.830,0.000,0.000
"function takeWhile(predicate) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_15, _a;             let i = 0",8.021,8.044,8.021,0.022,0.000
"function(m){ 		console.error('S.error',m); 		if(m === S.error.lastError) return; 		S.error.lastError=m; 		alert(m); 	}",8.409,8.241,7.838,-0.169,-0.571
function(cb) {       scott.deleteAllDogs(function(err) {         if (err) { return cb(err); }          scott.delete(function(err) {           cb(err);         });       });     },7.821,7.821,8.159,0.000,0.337
function DrawspriteCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 3) throw new SyntaxError('DRAWSPRITE command requires 3 ar,8.403,8.404,8.252,0.001,-0.151
function ColorCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 3) throw new SyntaxError('COLOR command requires 3 arguments');,8.443,8.443,8.302,0.000,-0.140
"function shallowClone(source, obj) {     if (arguments.length < 2) {         obj = source;         source = {};     }      for (var key in obj) {         if (!obj.hasOwnProperty(ke",9.242,9.242,9.242,0.000,0.000
function(path){          // Define the array we'll return.         var routes = [];          // Grab the FS library.         var fs = require('fs');          // Read the contents f,8.476,8.476,8.565,0.000,0.089
function LoadspriteCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 2) throw new SyntaxError('LOADSPRITE command requires 2 ar,8.608,8.608,7.245,0.000,-1.364
"function init(pathToModels, cb, addToSwagger) { 	modelPath = pathToModels; 	glob(modelPath + '/**/*.js', function(err, files) { 		if (err) return cb && cb(err);  		files.forEach(fu",7.456,7.456,7.632,0.000,0.176
"function toArray() {     return Object       .keys(data)       .map(function(name) { return data[name]; })       .sort(function(a, b) {         return a.compareTo(b);       });   }",8.185,8.239,7.942,0.054,-0.242
"function(options){ 		var $form=this,submit; 		if(!S.isObj(options)) options = { success: options }; 		this.on('submit',function(evt){ 			evt.preventDefault(); 			evt.stopPropagatio",6.993,6.993,6.993,0.000,0.000
"function( DomainName, callback ){  			var query = { 				DomainName : DomainName  			};  			this.sdb.request('CreateDomain', query, function(err, result){  				if(!err){  					callb",8.983,8.983,5.826,0.000,-3.156
"function validateObjectEntity(modelObject, entity, parents, errors) {   if (!errors) errors = {};   if (!errors.text) errors.text = [];   if (!parents) parents = [];    for (var ke",8.010,8.010,8.010,0.000,0.000
"function parseExpression(data, line) {     data = data.trim();      var lowerData = data.toLowerCase();     var positions = util.findPositions(lowerData, [         { 'start': '""', ",7.704,7.704,7.704,0.000,0.000
"function removeStyle(node, prop) {             if (node && node.el) {                 node.el.style[prop] = '';             }         }",8.155,7.740,7.740,-0.415,-0.415
function ReadCommand(args) {     var parsed = new statements.ArgumentStatement(args);     for (var i = 0; i < parsed.args.length; i++) {         var placeVar = parsed.args[i];     ,8.545,8.545,8.545,0.000,0.000
"function issorted( arr, clbk ) { 	if ( !Array.isArray( arr ) ) { 		throw new TypeError( 'issorted()::invalid input argument. Must provide an array.' ); 	} 	if ( arguments.length > ",7.344,7.344,7.412,0.000,0.068
"function consrow(sym) {     return _.find(Const.constable, function(row) {         return (row.indexOf(sym) > -1);     }) || ''; }",6.914,6.914,6.914,0.000,0.000
"function genParam(param) {     var res = {         name: param.name || '',         description: param.description || '',         optional: !!param.optional     };     if (param.typ",8.161,8.173,8.161,0.012,0.000
"function addClass(node, className) {             if (node && node.el) {                 node.el.classList.add(className);             }         }",7.330,7.465,7.330,0.135,0.000
"function setArrayIndexAt(arr, dimensions, val, data) {     var currentDimension = dimensions[0].execute(data);     data.validate(currentDimension, 'number');     currentDimension -",8.392,8.385,8.357,-0.007,-0.035
"function findPositions(data, items) {     var depth = 0;     var rootId = -1;     var result = [];     var currentItem = {};      var accumulator = '';     for (var ci = 0; ci < da",7.658,7.650,7.687,-0.009,0.028
"function every(predicate) {     return async (it) => {         var e_23, _a;         let i = 0;         try {             for (var it_4 = __asyncValues(it), it_4_1; it_4_1 = a",8.009,7.680,8.009,-0.329,0.000
"function wrapMiddleware(fn) {   assert(typeof fn === 'function', `express中间件必须是一个函数类型`);   assert(fn.length >= 2, `express中间件必须至少有2个参数`);   if (fn.length === 2) {     return functi",8.478,8.210,8.305,-0.269,-0.174
"function reduce(predicate, initial) {     return async function (iterable) {         var e_6, _a;         let index = 0;         let prevState = initial;         try {       ",8.069,8.080,8.476,0.011,0.407
"function nextLine(context, ast, prompt, oldPrompt, forceCursor, eval) {     rl.question(prompt, function(answer) {         eval(answer, context, ast, forceCursor === -1 ? ast.root.",8.397,8.354,8.397,-0.042,0.000
"function APIs(config, httpClient) { 	let self = this instanceof APIs ? this : Object.create(APIs.prototype);  	if (util.isNullOrUndefined(config)) { 		return self; 	} 	let defaultH",8.645,8.454,8.454,-0.191,-0.191
"function flatMap(mapper) {     return function (maybe) {         for (const value of maybe) {             return mapper(value);         }         return maybe_1.nothing();   ",8.507,8.507,8.507,0.000,0.000
function parse(code) {     try {         var labels = {};         var root = [];         var manager = new BlockManager();          var lines = code.split('\n');         for (var i,8.983,8.090,8.823,-0.893,-0.160
function Injectables(deps){ 	var self = this; 	this.registry = { 		injector: this 	}; 	Object.keys(deps|| {}).forEach(function(k){ 		if(k == 'injectables') return; 		self.registry[,8.683,9.004,8.387,0.321,-0.296
"function BasicResolverStrategy(config) { 	ResolverStrategy.call(this, config); 	this.config = extend(true, this.config, {}, config); }",8.735,8.478,7.761,-0.257,-0.973
"function Intent(subject, op, target, data) {   this.subject = subject;   this.op = op;             // create | read | update | delete   this.target = target;   this.data = data; }",7.935,7.927,7.560,-0.008,-0.375
"function initialize(done) {     done = done || function() { };     if (fileContents) done();      fs.readFile(__dirname + '/../../data/filesystem.json', {         encoding: 'utf8' ",8.146,8.146,7.500,0.000,-0.646
"function changePosition(el, index) {              var HTMLElement = el.el;             if (HTMLElement && HTMLElement.parentNode) {                  var parentNode = HTMLElement.pa",7.733,7.733,7.733,0.000,0.000
"function renderContent(tpl, data, isFinal) {     var temp = juicer(tpl, data, {errorhandling : false})     if(temp == null)     {         console.log(""gg-template-engine: render Er",8.206,8.206,8.206,0.000,0.000
"function IfCommand(args, define) {     if (util.endsWith(args.toLowerCase(), ' then')) args = args.slice(0, args.length - 5).trim();     else throw new SyntaxError('IF has no THEN'",8.526,8.568,6.783,0.042,-1.743
"function genBlockMethod(members, name) {     var res = {         name: name,         description: '',         params: [],         returns: [],         deprecated: false,         fi",8.555,8.089,8.525,-0.466,-0.029
"function main() {     var rawData = $('.HeaderTexture[data-login-user-email]').data();     if (rawData) {         me = {             name: rawData.loginUserName,             mail: ",7.318,7.044,6.979,-0.275,-0.339
"function(url, val){          // Create a new object that we can manipulate safely.         var object = extend({}, val);          // Flag so we remember to append any attributes th",7.714,7.714,7.714,0.000,0.000
"function hasClass(node, className) {             if (node && node.el) {                 return node.el.classList.contains(className);             } else {                 return fa",7.548,7.548,7.548,0.000,0.000
"function() {       var args = norma('path:s?', arguments);       var _url = url.format(_.clone(this.url));       var _path = (args.path || '').replace(/^\//, '');       return url.",6.647,6.779,6.774,0.132,0.127
"function Block(line, def, parent) {     this.startNames = [];     this.thenNames = [];     this.endNames = [];     for (var i = 0; i < def.start.length; i++) this.startNames.push(d",8.737,8.737,8.737,0.000,0.000
"function run(cmd, context, ast, cursor, next) {     try {         // Must be a command         if (cmd[0] === ""."") {             var command = cmd.substring(1);             var spa",8.627,8.627,8.627,0.000,0.000
"function val(node, _val2) {             if (node && node.el) {                 var el = node.el;                 if (_val2 !== undefined) {                     el.value = _val2;   ",7.908,7.975,7.908,0.068,0.000
"function charAt(index) {     return value => value.length <= index ? undefined : value.charAt(index); }",8.053,8.053,8.053,0.000,0.000
function (d){     if (!arguments.length) {       if (typeof _i === 'object'){         var o = {};         for (var prop in _i){           o[prop] = _i[prop]();         }         re,7.786,7.786,7.429,0.000,-0.356
"function flip(it) {     return __asyncGenerator(this, arguments, function* flip_1() {         yield __await(yield* __asyncDelegator(__asyncValues(yield __await(reduce((prev, next",8.290,8.607,8.726,0.317,0.436
"function writeBuffer(buffer) {   var written = fs.writeSync(this.fd, buffer, 0, buffer.length, null);   fs.fsyncSync(this.fd);   return written; }",8.066,8.066,8.066,0.000,0.000
"function(){ 				Object.defineProperty(this,'listen',{ value:function(){} }); 				var hasSyncEvent=this.self.store.hasSyncEvent; 				this.on('request.started',function(){ 					S.log",8.141,8.141,8.434,0.000,0.293
function onChildAdd(newData) {      // ignore all events before first read     if (!started) return;      // ignore already added item     if (data[newData.key()]) return;      // ,8.300,8.300,8.353,0.000,0.052
function CircleCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 3) throw new SyntaxError('CIRCLE command requires 3 arguments',8.470,8.484,8.367,0.014,-0.103
"function(lang,/*#if NODE*/entry,/*#/if*/params){ 		var plus = '', route = params.shift(); 		if(route !== true){ 			route = this.routes.get(/*#ifelse NODE*/entry||'main'/*#/if*/).ge",7.430,7.430,7.823,0.000,0.393
"function _shellBundle({   src = 'app/main.js',   dest = 'dist',   baseName = 'build',   ignoreVendors = false,   onlyVendors = false } = {}, jspmConfig, useSourcemaps = false) {   ",8.405,8.138,8.405,-0.267,0.000
"function OpenCommand(args, define) {     var lowerArgs = args.toLowerCase();     var forIndex = lowerArgs.indexOf(' for ');     if (forIndex === -1) throw new SyntaxError('OPEN wit",8.655,8.596,7.718,-0.059,-0.937
"function text(node, _text2) {             if (node && node.el) {                 node.el.innerHTML = _text2;             }         }",7.865,7.865,7.865,0.000,0.000
"function WhileCommand(args, define) {     var parsed = new statements.ArgumentStatement(args, {         separator: false     });      this.condition = parsed.args[0];     this.bloc",8.711,8.683,8.752,-0.028,0.041
"function endsWith(data, str) {     if (data.length < str.length) return false;     if (data === str) return true;     return data.lastIndexOf(str) === data.length - str.length; }",7.430,7.755,7.430,0.325,0.000
"function Polling (objGoogleCheckout) { 	var self = this; 	 	//todo: check the constructor name 	assert.ok(objGoogleCheckout, ""A GoogleCheckout object is the only required argument""",7.878,7.878,7.878,0.000,0.000
"function forward(receiver, provider, keys) {   keys = keys || allKeys(provider);   keys = Array.isArray(keys) ? keys : [keys];    keys.forEach(function (key) {     var val = provid",9.080,9.297,8.206,0.217,-0.874
"function doppler(it) {     return __asyncGenerator(this, arguments, function* doppler_1() {         var e_27, _a;         const buffer = [];         try {             for (var",7.498,7.527,7.447,0.029,-0.050
"function skip(count) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_14, _a;             let i = 0;       ",8.340,8.372,8.372,0.031,0.031
"function Population(opts) {      // allow use object for gene     var genes = opts.genes.map(function(gene, index) {         return index;     });     this.oriGenes = opts.genes;  ",8.076,7.835,7.812,-0.242,-0.264
"function next() {       var description,           firstTopic = topicChain[0];       for (description in context) {         if (description !== 'topic' && context.hasOwnProperty(de",7.421,7.421,7.620,0.000,0.199
"function ArgumentStatement(args, options, define) {     options = options || {};     this.value = args;     this.flags = {};     this.args = [];     this.options = options;      if",7.980,7.980,7.980,0.000,0.000
"function skipLast(count) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_11, _a;             const buffer =",8.077,8.077,8.077,0.000,0.000
"async function toArray(iterable) {     var e_29, _a;     const blob = [];     try {         for (var iterable_17 = __asyncValues(iterable), iterable_17_1; iterable_17_1 = await",8.186,8.242,8.186,0.057,0.000
"function load(file, options) {   var stream = fs.createReadStream(file, options);   function onEnd() {     this.emit('load');   }   function onError(err) {     this.emit('error', e",8.388,8.592,8.257,0.205,-0.131
"function append(parent, child) {             if (parent.el !== undefined && child.el !== undefined) {                 parent.el.appendChild(child.el);             }         }",8.386,8.386,8.386,0.000,0.000
"function(callback,compilationSource){ 		if( compilationSource && this.cache.compilationSource && this.cache.compilationSource === compilationSource ) return; 		var callbackError=fu",8.697,8.697,8.697,0.000,0.000
"function() {       var results = [parseInt(this.url.port, 10)];       this.url.hostname && results.push(this.url.hostname);       return results;     }",6.929,7.088,7.307,0.159,0.377
"function(path){ 	var xhr=new XMLHttpRequest; 	xhr.open('GET',baseUrl+'web/'+path+'.js', false); 	xhr.send(); 	if(xhr.status !== 200) new FatalError(/*#if DEV*/'Unable to load: '+pa",8.245,8.245,8.458,0.000,0.213
function ekurtosis( p ) { 	if ( !( isNumber(p) && 0 <= p && p <= 1) ) { 		return NaN; 	} 	return 6 + square( p ) / ( 1 - p ); },7.868,7.713,7.868,-0.155,0.000
"async function empty(source) {     var e_34, _a;     let i = 0;     try {         for (var source_5 = __asyncValues(source), source_5_1; source_5_1 = await source_5.next(), !so",8.227,8.227,8.227,0.000,0.000
"function drive(name, done) {     name = name.toLowerCase();     done = done || function() { };      if (allowedDrives.indexOf(name) === -1) return done(new Error(""Unknown drive""));",8.843,8.935,8.544,0.091,-0.299
"function onDOMAttached(el) {             var _this2 = this;              var handlers = [],                 attached = false,                 _step = undefined;              if (el",8.349,7.821,7.906,-0.528,-0.443
"function populateLabels(labelTemplateString, labels, numberOfSteps, graphMin, stepValue) {         if (labelTemplateString) {             //Fix floating point errors by setting to ",6.439,6.439,7.171,0.000,0.732
"function processExpr(exprObj, idx) {     var randExpr = clubexpr.replaceValuesWith(exprObj.expr, clubexpr.randomNumbers(9));     var link = '<a href=""#e' + (idx+1) + '"">' + (idx+1)",7.736,7.736,7.648,0.000,-0.087
"function listenOnChanges(fn) {     var scriptContent = 'var cartId=""' + me.cart + '"";var extId=""' + chrome.runtime.id + '"";$(document).bind(""MenuDishesChanged QuantityChanged MealD",7.207,7.207,8.144,0.000,0.937
function parseSingularExpression(data) {     // A hash signifies a pointer     if (data[0] === '#') {         var pointerId = data.substring(1);         if (isNaN(parseInt(pointerI,8.649,8.593,8.838,-0.056,0.189
function(duration){ 		if(duration===0) throw new Error('Duration must not be === 0'); 		if(!S.isString(duration)) return duration; 		return duration.contains('ms') ? parseInt(durat,7.445,7.445,7.342,0.000,-0.103
